"Index","First Name","Last Name","Date Of Birth","Height","Weight","Small Shirt Size","Medium Shirt Size","Large Shirt Size","Hair Color"
"0381","Ursina","Spengler","11.02.1948","177","74","","X","","Blonde"
"0382","Nicolas","Bünger","24.06.1936","165","75","X","","","Blonde"
"0383","Emilie","Schmid","22.04.1900","180","73","","X","","Gray"
"0384","Nikita","Fröhlich","31.01.1906","165","71","X","","","Black"
"0385","Jack","Seitz","09.10.1966","185","94","","","X","Brown"
"0386","Ismael","Egli","23.07.50","188","93","","","X","Blonde"
"0387","Philip","Z'graggen","08.06.1964","181","90","","X","","Gray"
"0388","Rui","Bürki","12.04.1942","176","77","","X","","Brown"
"0389","Ludovic","Mazenauer","26.11.01","184","74","","","X","Black"
"0390","Samira","Hurschler","06.11.1935","172","63","","X","","Blonde"
"0391","Dino","Böckle","21.11.1944","167","68","X","","","Black"
"0392","Bryan","Kurtulmus","04.10.52","183","99","","","X","Red"
"0393","Carmela","Fischer","20.07.1969","172","93","","X","","Red"
"0394","Sinem","Kurtulmus","27.01.1907","167","75","X","","","Red"
"0395","Ruben","Tomezzoli","31.05.1958","178","73","","X","","Red"
"0396","Tamara","Gross","30.11.1986","186","86","","","X","Brown"
"0397","Dani","Fasol","27.06.1952","169","74","","X","","Blonde"
"0398","Thibaut","Schönenberger","28.06.1961","169","72","","X","","Blonde"
"0399","Andri","Barmettler","31.03.1945","163","80","X","","","Brown"
"0400","Tamara","Inderbitzin","06.12.1960","167","75","X","","","Brown"
"0401","Kreshnik","Fontana","23.09.1949","168","69","","X","","Black"
"0402","GIADA","Lutz","29.01.1961","176","79","","X","","Red"
,"Christoph","Knobel",,,,,
"0403","Özge","Lüchinger","06.04.1979","177","78","","X","","Blonde"
"0404","VLADIMIR","Nicolussi","04.12.1981","182","85","","X","","Grey"
"0405","Maik","Kuster","16.02.1977","169","69","","X","","Blonde"
"0406","Jamie","Näpfer","19.07.1951","179","82","","X","","Grey"
"0407","Yann","Dubno","25.01.1986","164","71","X","","","Brown"
,"Nadir","D'Elia",,,,,
"0408","Dylan","Schenk","09.01.1955","173","61","","X","","Red"
,"Daniel","Bailer Rieder",,,,,
"0409","Maude","Fehr Düsel","09.05.1943","179","84","","X","","Brown"
"0410","Aurélien","Morf","13.08.1942","174","88","","X","","Blonde"
"0411","Elsa","Winiger","05.07.1985","180","93","","X","","Red"
"0412","Emre","Huber","12.11.1991","171","75","","X","","Red"
"0413","Joel","Hochstrasser","16.05.1971","166","65","X","","","Brown"
"0414","François","Flubacher","25.07.1986","171","77","","X","","Blonde"
"0415","Loriana","Beutler","30.12.1986","154","64","X","","","Brown"
"0416","Mirco","Barbadimos","14.09.1931","174","77","","X","","Red"
"0417","Lucas","Gitermann","29.02.1956","168","73","","X","","Blonde"
"0418","Lejla","Burger","31.05.1915","167","76","X","","","Blonde"
,"Louise","Claude",,,,,
"0419","Armando","Winiger","23.08.1957","179","74","","X","","Grey"
"0420","Sarina","Kramer","29.11.1925","168","65","","X","","Grey"
"0421","Kenneth","Knobel","21.11.1922","171","69","","X","","Grey"
"0422","Andrej","Merkli","16.09.1990","177","72","","X","","Black"
"0423","Maud","Edelmann","17.02.1986","175","75","","X","","Grey"
"0424","Kaltrina","Boppart","11.10.1902","170","90","","X","","Grey"
,"Rui","Bürki",,,,,
"0425","Aron","Lehmann","27.01.1914","159","61","X","","","Black"
"0426","Jacqueline","Schlieper","26.03.1967","181","93","","X","","Red"
"0427","Gaëlle","Böni","15.03.1969","176","70","","X","","Blonde"
"0428","Jamie","Anderegg Kovarik","12.12.1915","167","55","X","","","Black"
"0429","Nora","Klein","09.04.1959","168","75","","X","","Black"
"0430","Samira","Ling","15.04.1991","180","75","","X","","Red"
"0431","Gamze","Vögele","31.07.1989","168","81","","X","","Brown"
"0432","Corsin","Inauen","16.06.1910","184","85","","","X","Grey"
"0433","Leonardo","Ametamey","15.01.1955","169","66","","X","","Black"
"0434","ESMERALDA","Esseiva","07.11.1972","190","71","","","X","Blonde"
"0435","Soraia","Fehr Gallo","18.05.1996","186","100","","","X","Red"
"0436","ANTONELLA","Grüter","23.09.1973","170","57","","X","","Black"
"0437","Jules","Moser","20.05.1911","171","55","","X","","Grey"
"0438","Virginia","Neurohr","11.12.1952","178","78","","X","","Brown"
"0439","Yassin","Bösch","12.07.1908","179","78","","X","","Blonde"
"0440","Katja","Jakob Banz","17.05.1930","166","71","X","","","Black"
"0441","KRISTIAN","Haury","13.06.1936","174","83","","X","","Blonde"
,"Vania","Thomann",,,,,
"0442","Meryem","Truffer","10.04.1953","174","75","","X","","Blonde"
"0443","Rosa","Tobler","06.01.1902","165","50","X","","","Red"
"0444","SERAFIN","Venzin","05.04.1998","179","88","","X","","Red"
"0445","Lena","Gass","08.01.76","186","87","","","X","Blonde"
"0446","Lorenzo","Staudte","23.09.1903","174","85","","X","","Black"
"0447","Max","Cucuz","25.06.1985","166","69","X","","","Blonde"
"0448","Stefan","Müller-Sekinger","13.04.1933","171","65","","X","","Brown"
,"Allison","Gitermann",,,,,
"0449","Mélodie","Kyriacou","09.09.1923","169","52","","X","","Red"
"0450","Alban","Gull","17.02.1958","169","81","","X","","Black"
"0451","Büsra","Wenger","02.08.1978","165","57","X","","","Brown"
"0452","Christof","Pfrunder","24.01.1971","181","86","","X","","Blonde"
"0453","Barbara","Diebold","20.10.1916","170","87","","X","","Gray"
"0454","Ellen","Guyer","25.12.1984","189","86","","","X","Black"
"0455","Luka","Blumenthal","14.05.1915","184","85","","","X","Grey"
"0456","Elsa","Gitermann","17.07.1995","178","81","","X","","Grey"
"0457","James","Inderbitzin","23.11.1971","167","72","X","","","Red"
"0458","Mustafa","Samter","23.12.1989","177","65","","X","","Red"
"0459","Joanne","Linxweiler","11.12.1903","178","72","","X","","Black"
,"Diane","Gerth",,,,,
"0460","Mona","Jörg","15.08.1961","170","75","","X","","Black"
"0461","Yasemin","Tobler","01.09.1994","177","71","","X","","Grey"
,"Naim","Ramseier",,,,,
"0462","Evelyne","Styger","03.07.1906","169","80","","X","","Blonde"
"0463","Christof","Schäfli","31.12.1955","170","73","","X","","Red"
"0464","Elisa","Geyer","06.11.1927","165","60","X","","","Brown"
"0465","Tessa","Stählin","23.07.1943","181","77","","X","","Blonde"
"0466","Marla","Karrer","05.08.1958","168","57","","X","","Red"
"0467","Nadja","Hilber","31.08.1932","160","67","X","","","Brown"
"0468","Brian","Polemi","20.12.1955","161","65","X","","","Brown"
"0469","Edita","Hailemariam","03.06.1980","185","83","","","X","Brown"
"0470","Jovan","Tellenbach","15.10.1979","168","68","","X","","Grey"
"0471","SALOME","Käser","19.01.1915","175","74","","X","","Blonde"
"0472","Josip","Schempp","13.06.1980","174","70","","X","","Black"
"0473","Remi","Römer","04.07.1910","183","83","","","X","Black"
"0474","Silvio","Bertozzi","19.11.1957","172","71","","X","","Brown"
"0475","Elise","Otth","12.04.1979","185","98","","","X","Red"
"0476","Yara","Tschan","29.10.1982","178","82","","X","","Red"
"0477","Josip","Rüedi-Meier","04.12.1960","175","97","","X","","Black"
"0478","Ardita","Alder","27.03.1944","178","78","","X","","Blonde"
"0479","Didier","Näpfer","22.09.1924","180","89","","X","","Grey"
"0480","Muhamed","Lienhard","01.07.1925","169","68","","X","","Brown"
"0481","Charles","Dossenbach Weber","05.01.1926","156","55","X","","","Gray"
,"Regina","Hunn",,,,,
"0482","Billy","Hensch Frei","27.01.1926","163","67","X","","","Grey"
"0483","Samira","Nabholz","24.09.18","166","78","X","","","Blonde"
"0484","Luna","Kaplan","21.10.1929","186","100","","","X","Blonde"
"0485","Nic","Ziegler","14.10.1946","168","82","","X","","Grey"
"0486","Ruben","Wehrli","10.03.29","175","83","","X","","Grey"
"0487","Anouchka","Müller","20.06.1952","184","79","","","X","Black"
"0488","Levin","Helfenstein","29.09.1978","171","81","","X","","Blonde"
"0489","Jolanda","Brack","03.05.1959","176","84","","X","","Grey"
,"Alicia","Hohl",,,,,
"0490","Jérémie","Fritzsche","08.06.1939","176","73","","X","","Grey"
"0491","Romeo","Zöbeli","18.09.1944","169","79","","X","","Black"
"0492","Nuria","Felder","13.07.1988","169","76","","X","","Red"
"0493","Charlene","Ilari","07.08.1933","180","84","","X","","Blonde"
"0494","Flavien","Ziegler","27.05.1906","179","82","","X","","Brown"
"0495","Sheila","Winteler","11.11.1997","176","77","","X","","Brown"
"0496","MARLENE","Stamm","02.04.1963","171","79","","X","","Red"
"0497","DENNIS","Pflüger","19.10.1999","175","82","","X","","Black"
"0498","JOVANA","Winizki","23.06.1972","174","92","","X","","Red"
,"Randy","Imoberdorf",,,,,
"0499","Michelle","Schwendener","05.02.1903","179","80","","X","","Blonde"
"0500","Pascale","Bugmann","02.09.1941","175","83","","X","","Grey"
"0501","Marc","Merkli","06.09.1977","180","90","","X","","Red"
"0502","Tina","Lauber","17.03.1916","173","84","","X","","Blonde"
"0503","Kenneth","Diener","10.08.1993","164","69","X","","","Black"
"0504","Arian","Camen","11.06.1906","184","66","","","X","Grey"
"0505","Duygu","Vesely","01.09.1923","182","69","","X","","Blonde"
,"Jill","Pokerschnig",,,,,
"0506","Erika","Ramel","02.08.1954","170","65","","X","","Grey"
,"Naim","Sprecher",,,,,
"0507","Joelle","Wüst","20.04.1992","178","87","","X","","Blonde"
"0508","Mehdi","Aeberli","21.11.1984","176","80","","X","","Red"
"0509","Marcos","Erens","09.09.1923","187","92","","","X","Blonde"
"0510","Léon","Brauchli","26.09.84","176","62","","X","","Grey"
"0511","Gianna","Balmer-Schiltknecht","16.08.1912","165","77","X","","","Brown"
"0512","Yann","Leutenegger","20.05.1975","173","81","","X","","Black"
"0513","Djordje","Fridez","29.01.1966","166","79","X","","","Black"
"0514","Samuele","Akyol","07.06.1962","169","73","","X","","Grey"
"0515","Ralph","Tankosic","26.07.45","172","73","","X","","Black"
"0516","Raoul","Rusterholz","29.10.1926","168","77","","X","","Black"
"0517","Jonas","Medici","13.10.1910","175","81","","X","","Blonde"
,"Silvio","Bertozzi",,,,,
"0518","Leticia","Margreiter","21.02.1905","169","83","","X","","Blonde"
"0519","Coline","Lenggenhager","24.02.67","191","116","","","X","Brown"
"0520","Karim","Müller","27.05.47","179","78","","X","","Red"
,"Laurine","Oeschger",,,,,
"0521","Sven","Illi","04.04.1947","174","74","","X","","Black"
"0522","Robert","Altinay","28.05.1982","173","82","","X","","Brown"
,"Sasa","Carbone",,,,,
"0523","MELANIE","Hegetschweiler","22.06.1961","178","70","","X","","Black"
"0524","LEANA","Kirstein","06.06.02","178","87","","X","","Brown"
"0525","Magdalena","Negro","07.06.1955","178","71","","X","","Blonde"
"0526","Andi","Halser-Furrer","13.10.1959","174","81","","X","","Grey"
"0527","Alban","Brack","05.09.1988","177","83","","X","","Black"
"0528","Gilles","Ogul","28.02.1916","181","86","","X","","Brown"
,"Yasin","Sonderegger",,,,,
"0529","Adela","Wälle","25.07.1990","162","65","X","","","Brown"
"0530","Gaétan","Brunner","27.05.1912","167","71","X","","","Brown"
"0531","Hans","Meuli","25.10.39","178","82","","X","","Red"
"0532","Eva","Hess","02.05.1911","184","74","","","X","Grey"
"0533","Tara","Nikolic Singer","10.01.65","178","88","","X","","Blonde"
"0534","HEIDI","Küçükyildiz","09.07.17","185","99","","","X","Blonde"
"0535","Joris","Kobler","15.09.1984","172","81","","X","","Grey"
"0536","Marion","Z'graggen","12.12.1906","181","89","","X","","Grey"
"0537","Stacy","Bätschmann","20.09.1951","169","83","","X","","Grey"
"0538","Djordje","Herzog","09.12.1919","166","76","X","","","Black"
"0539","Laurane","Walpoth","20.02.18","181","103","","X","","Black"
"0540","Ajdin","Herger","12.11.1996","181","84","","X","","Grey"
"0541","Noelia","Bösinger","18.12.69","176","61","","X","","Brown"
"0542","Stella","Brauchli","25.04.1902","179","81","","X","","Grey"
"0543","Elias","De Martin","03.03.1933","178","106","","X","","Grey"
"0544","STEVE","Leu","14.09.1963","179","78","","X","","Blonde"
"0545","Anina","Hungerbühler","18.02.1961","178","83","","X","","Black"
"0546","Nikolina","Klinger","07.06.25","179","94","","X","","Blonde"
"0547","Emilie","Filli","18.10.1977","182","81","","X","","Blonde"
"0548","Nuno","Iseli-Siegenthaler","15.11.1923","175","66","","X","","Red"
"0549","Arbër","Bassand","16.10.1994","174","79","","X","","Gray"
"0550","Maura","Ryf","30.09.1975","183","94","","","X","Blonde"
"0551","Carol","Loup","18.05.1967","170","88","","X","","Red"
"0552","Roger","Isler Rüetschi","15.11.1958","184","86","","","X","Red"
"0553","Gaia","Bürki","25.05.1975","178","87","","X","","Red"
"0554","Noel","Tian","23.04.02","169","79","","X","","Black"
"0555","Jamie","Vesely","27.06.1945","157","68","X","","","Blonde"
"0556","Jason","Karrer-Derrer","02.09.1935","170","82","","X","","Black"
"0557","Rebekka","Markarian","20.06.1953","175","84","","X","","Blonde"
"0558","Danaë","Vogel","04.06.1957","170","66","","X","","Black"
"0559","Merve","Kraft","16.11.1994","179","66","","X","","Red"
,"Marcos","Erens",,,,,
"0560","Axel","Tognella","18.08.1910","170","90","","X","","Red"
"0561","Heidi","Battegay","12.12.1907","174","76","","X","","Brown"
"0562","Diego","Mahrer","03.09.1912","177","97","","X","","Red"
"0563","TIL","Wenziker","08.08.1916","175","81","","X","","Black"
"0564","Antonin","Burri","19.10.1949","175","100","","X","","Blonde"
"0565","Fernando","Uttinger","10.11.1900","169","62","","X","","Brown"
"0566","Ruben","Hegetschweiler","02.07.1980","180","81","","X","","Black"
"0567","Roxanne","Grieder","02.10.1919","175","87","","X","","Blonde"
"0568","Ariana","Bötschi","14.08.1911","162","63","X","","","Grey"
"0569","FLAVIA","Hasler","17.09.1940","177","81","","X","","Brown"
"0570","Lauriane","Mahrer","18.06.1927","174","67","","X","","Brown"
"0571","MELINDA","Beltramini","16.02.1963","164","70","X","","","Blonde"
"0572","Robert","Z'graggen","04.11.1978","161","72","X","","","Red"
"0573","Émile","Tumay","08.09.1916","178","82","","X","","Blonde"
"0574","Ben","Dogwiler","17.05.1947","168","71","","X","","Brown"
"0575","Diellza","Virchaux","09.04.1936","171","89","","X","","Grey"
,"Johannes","Roth",,,,,
"0576","Gabriele","Käppler","18.11.1929","172","83","","X","","Brown"
"0577","Bryan","Schoch","03.03.1954","174","68","","X","","Red"
"0578","Martina","Bigger","30.03.1996","167","67","X","","","Black"
"0579","Dylan","Bamert","23.04.1914","175","74","","X","","Brown"
,"Gilles","Ogul",,,,,
"0580","Alfred","Burg","15.12.74","169","64","","X","","Blonde"
"0581","Loan","Diggelmann","19.11.1919","162","82","X","","","Black"
"0582","Antonin","Schatt","04.10.1946","167","60","X","","","Brown"
"0583","Jasper","Betschart","11.03.1969","163","51","X","","","Brown"
"0584","Océane","von Planta","14.09.1930","178","82","","X","","Red"
"0585","Nevena","Brühlmann","07.02.1987","179","99","","X","","Grey"
"0586","Katharina","Fehlmann","03.12.1995","171","69","","X","","Black"
"0587","Semir","Negri","28.08.1938","163","61","X","","","Blonde"
"0588","Michael","Notter","07.09.1953","165","68","X","","","Brown"
"0589","Anissa","Stocker","07.05.1940","169","74","","X","","Blonde"
"0590","Benno","Garibovic","23.08.18","164","62","X","","","Brown"
"0591","Floriane","Pauli","15.09.1966","168","70","","X","","Grey"
"0592","Carl","Baljsevic","07.02.1992","181","103","","X","","Grey"
"0593","Sabina","Johannsen","17.04.1917","167","84","X","","","Brown"
"0594","Carmine","Merki","02.11.52","158","66","X","","","Red"
"0595","Roman","Saxer","07.08.1970","169","66","","X","","Brown"
"0596","Nina","Schindler","22.12.1935","184","85","","","X","Brown"
"0597","Didier","Doornbosch Büttiker","02.08.1923","173","89","","X","","Red"
"0598","Mladen","Rasi","21.12.1967","184","84","","","X","Brown"
"0599","Damla","Fischer","13.12.1958","184","98","","","X","Blonde"
"0600","Nadin","Obrist","07.05.43","172","89","","X","","Grey"
"0601","Guillaume","Krebs","21.07.1970","179","86","","X","","Brown"
"0602","MATHILDA","Knauss","16.03.1960","168","75","","X","","Brown"
"0603","Thibaut","Siev","24.06.1977","183","69","","","X","Blonde"
"0604","Edis","Glaser","09.03.1933","180","69","","X","","Red"
,"Sebastian","Padel",,,,,
"0605","Johan","Petrillo","03.10.79","175","88","","X","","Gray"
"0606","Nemanja","Bugmann","11.09.1925","176","91","","X","","Brown"
"0607","Clelia","Römer","09.01.1980","182","73","","X","","Black"
"0608","Luka","Edelmann","10.10.1992","173","74","","X","","Black"
"0609","HARUN","Arnet","02.07.1933","172","83","","X","","Gray"
"0610","Gil","Schaffhauser","08.10.1913","182","64","","X","","Red"
"0611","Mona","Lattmann","01.06.1967","178","77","","X","","Grey"
"0612","NOËLLE","Hänni-Etter","13.04.1907","174","76","","X","","Blonde"
"0613","Marianne","Landolt","22.10.1901","181","87","","X","","Red"
"0614","BESNIK","Bazzell","01.02.1958","168","73","","X","","Grey"
,"Merve","Kraft",,,,,
"0615","Elina","Straumann","30.11.1956","178","92","","X","","Grey"
"0616","Teo","Bösinger","17.04.1922","169","83","","X","","Brown"
"0617","Nadin","Baumgartner Kläy","25.05.1939","173","65","","X","","Black"
"0618","Sabine","Hausherr","25.01.1946","182","89","","X","","Blonde"
"0619","Jolanda","Reich","23.02.1924","179","89","","X","","Blonde"
"0620","Cristian","Piller","24.04.1940","162","78","X","","","Blonde"
,"Elena","Schubiger",,,,,
"0621","Yannik","Schwyter","04.06.1910","173","83","","X","","Blonde"
"0622","RAMON","Maron","01.03.1917","173","85","","X","","Brown"
"0623","Laurie","Steger","09.05.1941","181","101","","X","","Brown"
"0624","Cheyenne","Theis","02.07.15","176","81","","X","","Black"
,"Flavia","Hasler",,,,,
"0625","Claire","Ninaus","10.10.1924","161","70","X","","","Red"
,"Raquel","Grimaldi-Akermann",,,,,
"0626","Tomislav","Balmer-Schiltknecht","03.02.1980","179","81","","X","","Blonde"
"0627","Riccardo","Sonderegger","03.06.1948","172","76","","X","","Red"
"0628","Elisa","Fuchs Geering","21.02.1961","169","81","","X","","Red"
"0629","FILIP","Zatti","07.04.1992","170","83","","X","","Brown"
"0630","Damien","Herzog","27.11.1945","161","55","X","","","Brown"
"0631","Jeton","Hasler","29.03.1995","167","68","X","","","Red"
"0632","Edmond","Häusermann","06.12.1967","175","76","","X","","Brown"
"0633","Melis","Walther","14.04.1997","179","91","","X","","Blonde"
"0634","Martino","Nestel","01.12.1900","177","76","","X","","Blonde"
"0635","Joseph","Haury","25.04.1913","175","78","","X","","Blonde"
"0636","Naim","Gallmann","08.12.1914","177","90","","X","","Black"
,"Loan","Diggelmann",,,,,
"0637","Christof","Filli","07.05.1923","184","92","","","X","Blonde"
"0638","Gregor","Danner-Winzeler","22.02.1919","181","85","","X","","Brown"
"0639","Tijana","Pöhner","26.12.1918","177","84","","X","","Blonde"
"0640","Aylin","Feller","13.08.1911","188","75","","","X","Black"
"0641","Roy","Jenkins Scheidegger","26.07.1965","178","83","","X","","Blonde"
"0642","Maxime","Keim","23.02.1962","177","95","","X","","Black"
"0643","Berfin","Anken","25.06.1981","171","71","","X","","Red"
"0644","Adriana","Tröndle","17.08.1923","155","57","X","","","Red"
,"Fitim","Tanner",,,,,
"0645","Chris","Liebi","01.08.91","184","63","","","X","Brown"
"0646","Yuri","Dennler","03.08.1939","175","89","","X","","Red"
"0647","Giovanni","Obrecht","03.02.1922","191","94","","","X","Brown"
,"Carl","Baljsevic",,,,,
"0648","Fabrizio","Meyer","15.09.1924","171","60","","X","","Grey"
"0649","Arlinda","Nüssli-Danuser","27.10.1944","188","87","","","X","Red"
"0650","Leah","Ramel","06.07.1925","167","78","X","","","Brown"
"0651","Sinan","Suter Reich","17.08.1933","174","83","","X","","Red"
"0652","Lidia","Lüthold","27.01.1956","179","62","","X","","Blonde"
"0653","Sandy","De Baan","20.11.1941","183","84","","","X","Grey"
"0654","Markus","Berke","08.11.16","180","90","","X","","Brown"
"0655","JUSTIN","Hailemariam","09.01.1936","178","76","","X","","Blonde"
"0656","Raoul","Karakus","31.07.1964","163","76","X","","","Grey"
,"Cynthia","Bailer Rieder",,,,,
"0657","Domenico","Meier-Bohrer","23.06.1953","174","73","","X","","Grey"
"0658","Rafaela","Felchlin","03.10.28","175","71","","X","","Red"
"0659","Sinem","Bollmann","06.07.1969","170","79","","X","","Black"
"0660","Flavio","Akyol","23.12.1983","175","87","","X","","Black"
"0661","Enis","Suter Reich","30.06.1962","183","81","","","X","Red"
"0662","Giuliana","Albrecht","20.08.1909","180","76","","X","","Grey"
"0663","MELVIN","Grob","06.04.1996","173","66","","X","","Grey"
"0664","Darko","Merki","03.04.1947","186","92","","","X","Grey"
"0665","Marilena","Kircali","26.01.1972","176","74","","X","","Red"
"0666","Ebru","Mijnssen","13.09.21","172","70","","X","","Blonde"
,"Harun","Arnet",,,,,
"0667","Yan","Eralp","28.06.1945","179","68","","X","","Grey"
"0668","DEBORAH","Besker","19.03.1925","167","66","X","","","Grey"
"0669","Kenny","Brugger","30.06.1989","185","104","","","X","Blonde"
"0670","Claudia","Rabelbauer","06.07.1940","174","82","","X","","Brown"
"0671","Louisa","Lüchinger","18.02.1964","182","92","","X","","Brown"
"0672","Alma","Garcia","08.09.1935","171","78","","X","","Grey"
"0673","Rayan","Gnägi","17.08.1964","185","82","","","X","Blonde"
"0674","Mario","Ott Hari","24.09.1949","176","73","","X","","Grey"
"0675","Daniele","Fumasoli","01.11.87","172","71","","X","","Black"
"0676","Maurice","Knauss","12.06.1936","165","59","X","","","Grey"
"0677","Elina","Zygmont","24.01.1995","176","64","","X","","Brown"
"0678","Sasa","Goldmann","16.03.1921","176","76","","X","","Brown"
"0679","Bujar","Mathys","24.12.1906","160","75","X","","","Black"
"0680","Mirza","Zürcher","28.05.1901","174","75","","X","","Gray"
"0681","SANELA","Weiss","13.08.1993","179","70","","X","","Red"
"0682","Naim","Greiner-Tschudi","17.08.34","177","73","","X","","Brown"
"0683","Beatrice","Ricciardi Gerber","16.01.1939","173","78","","X","","Brown"
"0684","NATALIE","Scherer","14.11.1932","158","67","X","","","Red"
"0685","AZRA","Dulik","18.10.1972","171","60","","X","","Gray"
"0686","Jona","Stamm","15.01.1924","176","86","","X","","Red"
"0687","Virginie","Babini","11.12.1959","180","87","","X","","Grey"
"0688","Muhamed","Dutler","16.06.23","179","89","","X","","Brown"
"0689","Flamur","Spilimbergo","16.03.1987","179","77","","X","","Gray"
"0690","Konstantin","Jordi","09.03.1962","174","76","","X","","Brown"
"0691","Majlinda","Benz","18.10.1912","168","87","","X","","Brown"
"0692","Tim","Diaz","01.02.53","175","87","","X","","Brown"
,"Wendy","Linxweiler",,,,,
"0693","Kristian","Stiefel","02.01.1954","177","84","","X","","Red"
"0694","Vivian","Keel","11.04.1952","168","87","","X","","Brown"
"0695","Jan","Spilimbergo","21.07.1940","162","53","X","","","Red"
"0696","Thalia","Ulcay","28.06.1993","177","76","","X","","Red"
"0697","Edgar","Redzic","18.09.77","168","86","","X","","Black"
"0698","Catarina","Virag Jansen","10.05.1973","174","89","","X","","Blonde"
"0699","Amin","Ziltener","08.04.1903","166","66","X","","","Brown"
"0700","Amina","Pörtner","05.11.1999","175","85","","X","","Red"
,"Roy","Jenkins Scheidegger",,,,,
"0701","Milena","Lanz","22.08.1927","170","77","","X","","Black"
"0702","Lidia","Schwaninger","15.06.1926","171","74","","X","","Brown"
"0703","Roger","Brauchli","01.06.1938","185","77","","","X","Red"
"0704","Adrienne","Scherrer","01.02.1947","168","67","","X","","Black"
"0705","Vivienne","Steger","07.07.1978","181","90","","X","","Grey"
"0706","ARMIN","Morf","01.06.1971","175","73","","X","","Grey"
"0707","Katarina","Suter","27.07.1931","166","84","X","","","Blonde"
,"Jasmin","Boppart",,,,,
"0708","Ellen","Bösinger","27.04.1946","172","78","","X","","Blonde"
"0709","Valentine","Winizki","06.10.1939","180","97","","X","","Blonde"
"0710","Miguel","Neijzen","23.02.1930","163","55","X","","","Grey"
,"Fabrizio","Meyer",,,,,
"0711","Ryan","Lilljeqvist Heierli","25.05.1995","165","58","X","","","Blonde"
"0712","MICHELA","Lüchinger","10.02.1909","180","91","","X","","Red"
"0713","Felicia","Suter Reich","27.09.93","190","115","","","X","Grey"
"0714","Ivan","Bulatovic","16.02.1909","171","80","","X","","Grey"
"0715","Randy","Neininger","11.07.1973","175","66","","X","","Grey"
"0716","Melvin","Suter","30.05.1964","174","77","","X","","Gray"
"0717","Liv","Züst-Gericke","17.12.1929","177","78","","X","","Brown"
,"Drilon","Oswald",,,,,
"0718","Nathalie","Nüssli-Danuser","14.11.1994","174","88","","X","","Brown"
,"Justin","Hailemariam",,,,,
"0719","Greta","Frey","14.03.1994","183","90","","","X","Blonde"
"0720","Marigona","Kraft","09.01.1954","181","97","","X","","Black"
"0721","JAEL","Wernli","23.10.1984","169","65","","X","","Blonde"
"0722","Tino","Straumann","05.06.1972","190","97","","","X","Brown"
"0723","Alain","Giger-Reich","16.02.18","163","60","X","","","Grey"
"0724","YOHAN","Günthart","14.09.1919","177","83","","X","","Blonde"
"0725","ANTONIN","Tschann","26.06.1935","183","89","","","X","Black"
"0726","Danaë","Issler","16.10.1935","175","68","","X","","Brown"
,"Jonas","Garonne",,,,,
"0727","Clemence","Hunn","31.12.1930","188","100","","","X","Blonde"
"0728","Barbara","Nagel","05.09.1916","163","81","X","","","Red"
"0729","Madeleine","Loup","16.11.53","168","77","","X","","Brown"
"0730","Lynn","Koller-Hättenschwiler","01.04.1997","171","74","","X","","Red"
"0731","Felipe","Michel","16.06.1938","176","78","","X","","Red"
"0732","Ariane","Güler","03.10.1997","181","76","","X","","Black"
"0733","Carmine","Rentsch","08.08.1969","176","86","","X","","Red"
"0734","Gregory","Berchtold","14.03.1993","176","77","","X","","Brown"
"0735","Savannah","Kälin","24.09.1934","169","76","","X","","Brown"
"0736","Emir","Tellenbach","15.11.1914","175","92","","X","","Blonde"
"0737","Leroy","Urfer Widmer","07.06.1926","172","79","","X","","Grey"
"0738","Nik","Koller","15.05.1935","193","120","","","X","Red"
"0739","Thibaut","Fröhlich","03.11.36","166","59","X","","","Black"
"0740","Tanya","Bamert","25.11.1953","174","84","","X","","Red"
"0741","Osman","Ametamey","07.10.1940","179","95","","X","","Grey"
"0742","Lidia","Rotondi","03.03.1985","174","80","","X","","Brown"
"0743","Ramon","Furrer","06.10.1913","174","86","","X","","Grey"
"0744","Siria","Zschokke-Gohl","19.04.98","179","76","","X","","Blonde"
"0745","Liridona","Schwab","20.12.1969","170","59","","X","","Blonde"
,"Joy","Isler Rüetschi",,,,,
"0746","Arno","Mossner","16.02.1995","184","66","","","X","Blonde"
"0747","Lorenz","Prelicz-Huber","04.11.1997","163","58","X","","","Black"
"0748","Carina","Kaufmann","26.08.1959","169","67","","X","","Red"
"0749","Cem","Rösch","09.10.1998","172","85","","X","","Blonde"
"0750","Fatma","Rabelbauer-Pfiffner","20.10.1974","163","76","X","","","Blonde"
,"Cathérine","Böni",,,,,
"0751","Jona","Schlieper","09.03.1914","174","75","","X","","Grey"
"0752","Layla","Kräuchi","17.04.1917","173","76","","X","","Grey"
,"Marino","Agazzi",,,,,
"0753","DIDIER","Faga","29.04.1958","179","94","","X","","Black"
"0754","Annabelle","Huonder","04.09.1975","185","92","","","X","Black"
"0755","Ibrahim","Gisler","13.03.1931","176","89","","X","","Grey"
"0756","Darius","Samter","04.12.1904","185","82","","","X","Black"
"0757","JEREMIAS","Inauen","08.07.1919","187","71","","","X","Brown"
"0758","Tobias","Ernst","05.01.56","184","79","","","X","Grey"
"0759","Yara","Kleger","15.06.1962","172","82","","X","","Brown"
"0760","Besarta","Nüssli-Danuser","14.08.1922","172","72","","X","","Black"
"0761","Danja","Bürgisser","07.06.1976","180","98","","X","","Brown"
,"Estelle","Roose",,,,,
